,0,1,2,3,4,5,6,7,8,9,10,11
248,58,50,13,1957,9,2010-Q4,1,A02,A00,U,22,54
249,1274,1231,29,6338,54,2010-Q4,1,A07,A00,U,22,54
250,4,4,,444,,2010-Q4,2,A02,A00,U,22,54
251,276,269,12,3499,11,2010-Q4,2,A07,A00,U,22,54
252,1203,765,524,2339,706,2010-Q4,1,A02,A00,U,23,54
253,5092,3959,927,5142,1663,2010-Q4,1,A07,A00,U,23,54
254,81,55,29,1080,42,2010-Q4,2,A02,A00,U,23,54
255,639,552,100,3180,151,2010-Q4,2,A07,A00,U,23,54
256,57,41,26,1147,20,2011-Q1,1,A02,A00,U,11,54
257,146,132,17,3511,18,2011-Q1,1,A07,A00,U,11,54
258,18,14,11,1028,6,2011-Q1,2,A02,A00,U,11,54
259,48,39,9,1947,11,2011-Q1,2,A07,A00,U,11,54
260,853,676,391,4554,257,2011-Q1,1,A02,A00,U,21,54
261,5218,4909,296,7259,374,2011-Q1,1,A07,A00,U,21,54
262,24,20,11,1109,5,2011-Q1,2,A02,A00,U,21,54
263,257,246,24,4224,19,2011-Q1,2,A07,A00,U,21,54
264,56,54,9,2110,6,2011-Q1,1,A02,A00,U,22,54
265,1301,1224,272,6880,334,2011-Q1,1,A07,A00,U,22,54
266,4,4,2,382,0,2011-Q1,2,A02,A00,U,22,54
267,286,279,27,3523,28,2011-Q1,2,A07,A00,U,22,54
268,899,680,412,1770,329,2011-Q1,1,A02,A00,U,23,54
269,4236,3727,643,3964,711,2011-Q1,1,A07,A00,U,23,54
270,58,44,32,826,30,2011-Q1,2,A02,A00,U,23,54
271,581,548,76,2511,68,2011-Q1,2,A07,A00,U,23,54
272,64,53,54,1436,31,2011-Q2,1,A02,A00,U,11,54
273,159,140,38,3208,37,2011-Q2,1,A07,A00,U,11,54
274,27,23,20,1039,15,2011-Q2,2,A02,A00,U,11,54
275,55,47,8,1844,9,2011-Q2,2,A07,A00,U,11,54
276,916,711,538,4983,294,2011-Q2,1,A02,A00,U,21,54
277,5381,5073,311,7051,360,2011-Q2,1,A07,A00,U,21,54
278,29,19,27,1046,11,2011-Q2,2,A02,A00,U,21,54
279,276,255,25,4000,32,2011-Q2,2,A07,A00,U,21,54
280,52,44,24,2072,8,2011-Q2,1,A02,A00,U,22,54
281,1324,1281,50,6033,60,2011-Q2,1,A07,A00,U,22,54
282,6,6,3,341,,2011-Q2,2,A02,A00,U,22,54
283,302,291,7,3243,14,2011-Q2,2,A07,A00,U,22,54
284,991,711,1287,2307,625,2011-Q2,1,A02,A00,U,23,54
285,4631,4026,1356,4341,1099,2011-Q2,1,A07,A00,U,23,54
286,59,43,163,1131,40,2011-Q2,2,A02,A00,U,23,54
287,639,588,116,2704,94,2011-Q2,2,A07,A00,U,23,54
288,75,45,39,1273,45,2011-Q3,1,A02,A00,U,11,54
